Full Name,FIRST,LAST,NICKNAME,HT.,Height_FT,Height_INCH,Height_CM,WT.,WEIGHT_LB,WEIGHT_KG,REACH,REACH_INCH,STANCE,W,L,D,BELT,GENDER,DIVISION
Justin Wilcox,Justin,Wilcox,Silverback,"5' 6""",5,6,167.64,155 lbs.,155,70.30676,--,0,Orthodox,11,6,0,,M,Lightweight
Justin Wren,Justin,Wren,The Viking,"6' 2""",6,2,187.96,265 lbs.,265,120.20188,--,0,Orthodox,11,2,0,,M,Heavyweight
Justine Kish,Justine,Kish,,"5' 5""",5,5,165.1,115 lbs.,115,52.16308,"64.0""",64,Orthodox,5,0,0,,F,Strawweight
Jutaro Nakao,Jutaro,Nakao,,"5' 9""",5,9,175.26,170 lbs.,170,77.11064,--,0,Southpaw,23,17,4,,M,Welterweight
JW Wright,JW,Wright,,--,0,0,0,130 lbs.,130,58.96696,--,0,n/a,1,0,0,,M,Bantamweight
Kailin Curran,Kailin,Curran,,"5' 4""",5,4,162.56,115 lbs.,115,52.16308,"65.0""",65,Orthodox,4,2,0,,F,Strawweight
Kain Royer,Kain,Royer,,--,0,0,0,185 lbs.,185,83.91452,--,0,n/a,2,2,0,,M,Middleweight
Kaitlin Young,Kaitlin,Young,,"5' 9""",5,9,175.26,135 lbs.,135,61.23492,--,0,Orthodox,5,5,1,,F,Bantamweight
Kajan Johnson,Kajan,Johnson,Ragin',"5' 11""",5,11,180.34,155 lbs.,155,70.30676,"75.0""",75,Orthodox,21,12,1,,M,Lightweight
Kaleo Kwan,Kaleo,Kwan,Leo Boy,"5' 7""",5,7,170.18,155 lbs.,155,70.30676,--,0,n/a,10,13,0,,M,Lightweight
Kalib Starnes,Kalib,Starnes,,"6' 3""",6,3,190.5,185 lbs.,185,83.91452,"74.0""",74,Orthodox,12,7,1,,M,Middleweight
Kaline Medeiros,Kaline,Medeiros,The Dark Angel,"5' 3""",5,3,160.02,115 lbs.,115,52.16308,--,0,n/a,5,4,0,,F,Strawweight
Kamal Shalorus,Kamal,Shalorus,Prince of Persia,"5' 8""",5,8,172.72,155 lbs.,155,70.30676,"68.0""",68,Orthodox,7,3,2,,M,Lightweight
Kamaru Usman,Kamaru,Usman,The Nigerian Nightmare,"6' 0""",6,0,182.88,170 lbs.,170,77.11064,"76.0""",76,n/a,7,1,0,,M,Welterweight
Karen Darabedyan,Karen,Darabedyan,,"5' 7""",5,7,170.18,155 lbs.,155,70.30676,"68.0""",68,Orthodox,9,4,0,,F,Lightweight
Karl Amoussou,Karl,Amoussou,The Psycho,"5' 11""",5,11,180.34,185 lbs.,185,83.91452,--,0,Orthodox,12,4,2,,M,Middleweight
Karl Willis,Karl,Willis,,--,0,0,0,--,0,0,--,0,n/a,0,4,0,,M,n/a
Karla Benitez,Karla,Benitez,,"5' 3""",5,3,160.02,113 lbs.,113,51.255896,--,0,n/a,6,2,0,,F,Strawweight
Karlos Vemola,Karlos,Vemola,,"6' 0""",6,0,182.88,185 lbs.,185,83.91452,"75.0""",75,Orthodox,10,4,0,,M,Middleweight
Karo Parisyan,Karo,Parisyan,The Heat,"5' 10""",5,10,177.8,170 lbs.,170,77.11064,"72.0""",72,Orthodox,19,8,0,,M,Welterweight
Karolina Kowalkiewicz,Karolina,Kowalkiewicz,,"5' 3""",5,3,160.02,115 lbs.,115,52.16308,"65.0""",65,Orthodox,8,0,0,,F,Strawweight
